reporting_jurisdiction	CountyFIPS	other_jurisdiction	sewershed_population_served	sewage_travel_time	sample_location	sample_location_specify	wwtp_name	wwtp_jurisdiction	capacity_mgd	industrial_input	stormwater_input	influent_equilibrated	sample_type	composite_freq	sample_matrix	collection_storage_time	collection_storage_temp	solids_separation	concentration_method	extraction_method	pre_conc_storage_time	pre_conc_storage_temp	pre_ext_storage_time	pre_ext_storage_temp	tot_conc_vol	ext_blank	rec_eff_target_name	rec_eff_spike_matrix	rec_eff_spike_conc	pasteurized	pcr_target	pcr_gene_target	pcr_type	hum_frac_target_mic	hum_frac_target_chem	other_norm_name	quant_stan_type	num_no_target_control	sample_collect_date	sample_collect_time	time_zone	flow_rate	ph	conductivity	tss	collection_water_temp	equiv_sewage_amt	sample_id	lab_id	test_result_date	pcr_target_units	pcr_target_avg_conc	pcr_target_std_error	pcr_target_cl_95_lo	pcr_target_cl_95_up	pcr_target_below_lod	lod_sewage	ntc_amplify	rec_eff_percent	inhibition_detect	inhibition_adjust	hum_frac_mic_conc	hum_frac_mic_unit	hum_frac_chem_conc	hum_frac_chem_unit	other_norm_conc	other_norm_unit	major_lab_method	major_lab_method_desc	sample_first_reported	key_sewershed	COUNTY_POPESTIMATE2020	vax_date	cases_date	hosp_date	deaths_date	actuals.vaccinationsInitiated	actuals.vaccinationsCompleted	actuals.vaccinationsAdditionalDose	metrics.vaccinationsInitiatedRatio	metrics.vaccinationsCompletedRatio	metrics.vaccinationsAdditionalDoseRatio	actuals.newCases	metrics.caseDensity100k	metrics.infectionRate	metrics.testPositivityRatio	actuals.hospitalBeds.capacity	actuals.icuBeds.capacity	actuals.hospitalBeds.currentUsageCovid	actuals.icuBeds.currentUsageCovid	metrics.icuCapacityRatio	metrics.bedsWithCovidPatientsRatio	metrics.bedsWithCovidPatientsRatioRolling10	metrics.weeklyCovidAdmissionsPer100k	metrics.weeklyCovidAdmissionsPer100kRolling10	metrics.icuCapacityRatioRolling10	actuals.newDeaths	metrics.newDeathsRolling7
mo	29047		13940		XXXX	XXXX	XXXX	mo	2.8				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.695420709		sars-cov-2	n2	qpcr				rna	3	2021-10-25			1.78						XXXX	XXXX	2021-10-26	copies/l wastewater	250071.09604	21559.253499	181469.55	318672.64	no	1750.0	no	10.804583333	no	no									2021-11-04 17:03:17	mo_197	253463.0	2021-10-15	2021-11-01	2021-11-08	2021-11-15	129462	116914		0.518	0.468		8	9.5	1.01	0.078							0.06000000000000211		12.499999999999858	0.8199999999999925	0	0.0
co	08031		709904		XXXX	XXXX	XXXX	co	30.0				24-hr flow-weighted composite		raw wastewater		0.0		innovaprep ultrafiltration	qiagen qiaamp buffers with epoch columns		0.0			40.0	no	bcov vaccine	raw sample	2.76		sars-cov-2	n1	ddpcr	pepper mild mottle virus		f+ rna coliphage	rna	1	2021-02-04	08:00		53.6						XXXX	XXXX	2021-02-04	copies/l wastewater	52027.73782019		1937.6799665174215	3402.118965256097	no	4000.0	no	0.22875205040838145	no						102350825.54833813	copies/l wastewater			2021-06-30 22:10:17	co_252	735538.0	2021-01-25	2021-02-11	2021-02-18	2021-02-25	4521	1765	0.0	0.006	0.002	0.0	439	23.6	0.95	0.029	1831	171	71	20	0.69	0.04	0.03999999999999989	7.7	7.70000000000007	0.689999999999996	1	0.5
ut	49003		21443		XXXX	XXXX	XXXX	ut	6.0				23-hr time-weighted composite		raw wastewater	2.5	4.0	centrifugation	membrane filtration with sample acidification	phenol chloroform			8.0	-70.0	100.0					yes	sars-cov-2	n1 and n2 combined	qpcr				dna	1	2021-01-24	11:00	utc-07:00	1.9						XXXX	XXXX	2021-01-26	copies/l wastewater	199000.0	9192.388155425117			no	3000.0	no	-1.0	not tested	no							1	the four academic labs (byu, dsu, usu, uu) used functionally identical methods. split sample testing indicated results were reasonably comparable.	2021-02-12 16:31:38	ut_3	57007.0	2021-01-14	2021-01-31	2021-02-07	2021-02-14			0.0			0.0	9	33.1	0.74	0.146							0.06500000000000444		8.599999999999842		0	0.375
wi	55073		42350		XXXX	XXXX	XXXX	wi	8.2				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	6.093		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2020-11-14	08:00	utc-06:00	4.51	7.25	1224.0			2.0	XXXX	XXXX	2020-11-18	copies/l wastewater	28536.0	5408.0			yes	33000.0	no	0.213	no	no	15496765.0	copies/l wastewater							2021-02-18 18:48:01	wi_433	135593.0	2020-11-04	2020-11-21	2020-11-28	2020-12-05	0.0	0.0	0.0	0.0	0.0	0.0	138	123.5	0.84	0.179							0.17000000000000462		51.79999999999997	0.7899999999999865	4	2.5
nc	37099		13296		XXXX	XXXX	XXXX	nc	3.5		no	no	24-hr flow-weighted composite	1.0	raw wastewater	123.0		filtration	membrane filtration with addition of mgcl2	qiagen rneasy powermicrobiome kit					25.0	yes	bcov vaccine	raw sample	4.52236141	yes	sars-cov-2	n2	ddpcr	pepper mild mottle virus			rna	1	2021-10-22	06:44		1.005	7.1	530.0		4.0	0.859375	XXXX	XXXX	2021-10-28	copies/l wastewater	12160.0	-1.0	4889.6	25062.4	no	5222.4	no	0.234519195	no	no	8717312.0	copies/l wastewater							2021-11-01 23:52:14	nc_405	44033.0	2021-10-12	2021-10-29	2021-11-05	2021-11-12	22985	21279		0.523	0.484		9	15.3	0.82	0.069							0.08000000000000465		3.8999999999998387	0.8099999999999842	0	0.0
co	08069		66428		XXXX	XXXX	XXXX	co	6.4				24-hr flow-weighted composite		raw wastewater		0.0		innovaprep ultrafiltration	qiagen qiaamp buffers with epoch columns		0.0			40.0	no	bcov vaccine	raw sample	2.76		sars-cov-2	n1	ddpcr	pepper mild mottle virus		f+ rna coliphage	rna	1	2021-05-10	07:00		7.141						XXXX	XXXX	2021-05-10	copies/l wastewater	100669.29667668891		64398.70868009582	73272.39563349304	no	4000.0	no	0.13564479258385717	no		4154684.1334964344				137644709.03881752	copies/l wastewater			2021-06-30 22:10:17	co_227	360428.0	2021-04-30	2021-05-17	2021-05-24	2021-05-31	6564	3405	0.0	0.018	0.01	0.0	56	16.7	0.8	0.04							0.045000000000000054		8.150000000000027	0.6499999999999979	0	0.25
ut	49011		228700		XXXX	XXXX	XXXX	ut	34.0				24-hr flow-weighted composite		raw wastewater	4.85		centrifugation	promega wastewater large volume tna capture kit	promega manual tna kit	20.8166666666667	4.0	0.0		20.0		oc43	raw sample	3.5	no	sars-cov-2	n1 and n2 combined	qpcr				rna	1	2021-12-06	06:30	utc-07:00	17.0					2.5	XXXX	XXXX	2021-12-09	copies/l wastewater	1394710.0	61516.67118215463			no	3000.0	no	48.05	not tested								2	uphl uses substantially different concentration and extraction methods from the previous labs. results may not be comparable.	2021-12-09 23:43:04	ut_16	359232.0	2021-11-26	2021-12-13	2021-12-20	2021-12-27	229995	205604		0.647	0.578		304	37.0	0.92	0.102							0.08000000000000443		9.04999999999984	0.9499999999999872	0	0.125
mo	29091		12000		XXXX	XXXX	XXXX	mo	3.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.8027932596		sars-cov-2	n1	qpcr				rna	3	2022-01-09			1.32						XXXX	XXXX	2022-01-10	copies/l wastewater	469182.63702	44379.393851	327967.41	610397.87	no	1750.0	no	13.835044935	no	no									2022-01-18 15:29:13	mo_441	40262.0	2021-12-30	2022-01-16	2022-01-23	2022-01-30	14796	12677	4162	0.369	0.316	0.104	0	140.2	1.3	0.336							0.22000000000000197		59.24999999999987	0.8799999999999923	0	0.25
ny	36011		33000	1.0	XXXX	XXXX	XXXX	ny	12.0	15.0	yes	no	24-hr time-weighted composite	2.0	raw wastewater	8.0	6.0	none	membrane filtration with addition of mgcl2	luminultra wastewater extraction kit		4.0		-20.0	50.0	yes	oc43	raw sample	6.0	no	delta	wt214	qpcr	pepper mild mottle virus			rna	2	2022-02-01	07:10	utc-05:00	4.19	7.88	1298.0	112.0	6.4	2.0	XXXX	XXXX	2022-02-03	copies/l wastewater	0.0	0.0				1498.6	no	23.89	no	no	15673559.68	copies/l wastewater								ny_471	76029.0	2022-01-22	2022-02-08	2022-02-15	2022-02-22	47279	44100	21608	0.617	0.576	0.282	25	41.6	0.67	0.092							0.10500000000000197		18.349999999999888	0.3349999999999924	1	0.25
co	08069		66428		XXXX	XXXX	XXXX	co	6.4				24-hr flow-weighted composite		raw wastewater		0.0		innovaprep ultrafiltration	qiagen qiaamp buffers with epoch columns		0.0			40.0	no	bcov vaccine	raw sample	2.76		sars-cov-2	n1	ddpcr	pepper mild mottle virus		f+ rna coliphage	rna	1	2022-02-03	07:00		3.41						XXXX	XXXX	2022-02-03	copies/l wastewater	289290.00801325677		12398.580391647916	16533.942239209784	no	4000.0	no	0.2490357887660337	no		3122685.155569469				80329290.09095304	copies/l wastewater			2022-02-07 23:31:07	co_227	360428.0	2022-01-24	2022-02-10	2022-02-17	2022-02-24	262833	236762	127510	0.736	0.663	0.357	233	54.2	0.65	0.104	663	60	46	12	0.6	0.07	0.07000000000000006	10.1	10.100000000000051	0.5999999999999958	0	0.125
mo	29101		14477		XXXX	XXXX	XXXX	mo	1.5				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.5091710046		sars-cov-2	n1	qpcr				rna	3	2020-11-15			1.036						XXXX	XXXX	2020-11-16	copies/l wastewater	391021.75	44598.708616	249108.66	532934.84	no	1750.0	no	7.0365263617	no	no									2021-07-08 20:47:03	mo_424	54219.0	2020-11-05	2020-11-22	2020-11-29	2020-12-06	0.0	0.0	0.0	0.0	0.0	0.0	19	61.7	0.93	0.215							0.1700000000000013		41.999999999999886	0.9799999999999948	0	0.5
ca	06085		236000		XXXX	XXXX	XXXX	ca	39.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-01-31	07:00	utc-07:00							XXXX	XXXX	2021-02-02	copies/g dry sludge	31550.21592				no	500.0	no	66.7	no	no	1020000000.0	copies/g dry sludge							2021-05-26 17:40:11	ca_305	1907105.0	2021-01-21	2021-02-07	2021-02-14	2021-02-21	110108	24473	0.0	0.057	0.013	0.0	485	23.2	0.79	0.033							0.11		12.400000000000041	0.8199999999999984	1	9.75
wi	55017		73000		XXXX	XXXX	XXXX	wi	12.0				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.556		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-05-21	07:00	utc-05:00	7.13	7.46	1203.0		16.6	0.625	XXXX	XXXX	2021-05-26	copies/l wastewater	17456.0	3277.0			yes	100000.0	no	3.163	no	no	17590171.0	copies/l wastewater							2021-06-11 16:01:01	wi_136	64737.0	2021-05-11	2021-05-28	2021-06-04	2021-06-11	27375	24550	0.0	0.423	0.38	0.0	2	8.0	0.75	0.036							0.030000000000009495				0	0.0
wv	54061		48328		XXXX	XXXX	XXXX	wv	20.8				24-hr flow-weighted composite		raw wastewater				ceres nanotrap	thermo magmax microbiome ultra nucleic acid isolation kit											sars-cov-2	n1	ddpcr				rna	1	2021-06-29	00:00		7.266						XXXX	XXXX	2021-07-09	copies/l wastewater	0.0					2855.0	no	-1.0	not tested										2021-12-09 18:45:36	wv_387	106819.0	2021-06-19	2021-07-06	2021-07-13	2021-07-20	16753	14515	0.0	0.159	0.137	0.0	1	0.5	1.25	0.003							0.01500000000000447		1.899999999999972	0.7399999999999866	0	0.125
ho	48201		12892		XXXX	XXXX	XXXX	tx	5.0				24-hr time-weighted composite	1.0	raw wastewater				membrane filtration with addition of mgcl2	chemagic viral dna/rna 300 kit											sars-cov-2	n2	ddpcr				dna	more than 3	2021-10-25	08:00	utc-05:00	3.53						XXXX	XXXX	2021-10-28	copies/l wastewater	70400.0	0.0			no	2333.33	no	-1.0	not tested										2021-11-03 15:26:22	tx_287	4738253.0	2021-10-15	2021-11-01	2021-11-08	2021-11-15							0	9.4	0.91	0.049							0.045000000000004495		5.449999999999915	0.8949999999999882	0	15.714285714285714
mo	29161		15000		XXXX	XXXX	XXXX	mo	4.765				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	5.5290442716		sars-cov-2	n1	qpcr				rna	3	2021-04-05			2.461						XXXX	XXXX	2021-04-06	copies/l wastewater	14110.25	1402.1963501	9648.46	18572.04	no	1750.0	no	7.3659978214	no	no									2021-07-08 20:47:03	mo_348	44414.0	2021-03-26	2021-04-12	2021-04-19	2021-04-26	9261	6226	0.0	0.208	0.14	0.0	1	7.7	0.75	0.061							0.02000000000000175		5.899999999999858	0.47999999999999227	0	0.0
md	24043		70000	2.5	XXXX	XXXX	XXXX	md	8.0	0.05	no	no	24-hr time-weighted composite	2.0	raw wastewater	0.5	5.0	none	membrane filtration with addition of mgcl2	luminultra wastewater extraction kit		4.0		-20.0	50.0	yes	oc43	raw sample	6.0	no	sars-cov-2	n1	qpcr	pepper mild mottle virus			rna	2	2022-02-01	06:19	utc-05:00	5.27	7.5		203.0	7.2	2.0	XXXX	XXXX	2022-02-03	copies/l wastewater	102002.93	3009.99				1498.6	no	11.01	no	no	24105229.02	copies/l wastewater								md_561	151146.0	2022-01-22	2022-02-08	2022-02-15	2022-02-22	97026	86436	38792	0.642	0.572	0.257	56	44.0	0.64	0.131							0.17000000000000137		21.79999999999976	0.7799999999999943	3	1.125
ho	48201		8610		XXXX	XXXX	XXXX	tx	2.0				24-hr time-weighted composite	1.0	raw wastewater				membrane filtration with addition of mgcl2	chemagic viral dna/rna 300 kit											sars-cov-2	n1	ddpcr				dna	more than 3	2021-10-04	08:00	utc-05:00	1.406						XXXX	XXXX	2021-10-07	copies/l wastewater	40700.0	18700.0			no	2668.39	no	-1.0	not tested										2021-10-14 15:36:10	tx_449	4738253.0	2021-09-24	2021-10-11	2021-10-18	2021-10-25							199	18.8	0.79	0.076							0.0900000000000045		9.449999999999914	0.9199999999999883	4	21.625
wi	55073		42350		XXXX	XXXX	XXXX	wi	8.2				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.699		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-03-01	08:00	utc-06:00	3.5	7.0	891.9			1.0	XXXX	XXXX	2021-03-06	copies/l wastewater	30822.0	6068.0			yes	66000.0	no	4.65	no	no	11872199.0	copies/l wastewater							2021-03-24 14:39:33	wi_433	135593.0	2021-02-19	2021-03-08	2021-03-15	2021-03-22	15789	6684	0.0	0.116	0.049	0.0	7	8.6	0.82	0.029							0.010000000000004635		4.149999999999986	0.6149999999999866	0	0.125
oh	39047		14000		XXXX	XXXX	XXXX	oh	6.0	6.82000021139781	no		24-hr time-weighted composite		raw wastewater		4.0	none	membrane filtration with sample acidification	qiagen qiaamp buffers with epoch columns		4.0			100.0	yes	bcov vaccine	raw sample	4.0	no	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	1	2021-10-10	08:00	utc-05:00	1.72599995136261	7.0		318.0	21.3000001907349		XXXX	XXXX	2021-10-12	copies/l wastewater	6047.416015625	685.9952201212161			no	100.0	no	10.509463208908702	no	no	11096564.0	copies/l wastewater					10	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-10-22 19:15:10	oh_428	28579.0	2021-09-30	2021-10-17	2021-10-24	2021-10-31	11535	10708		0.404	0.375		6	46.1	0.8	0.156							0.05500000000000322		14.100000000000016	0.9049999999999914	0	0.125
nc	37195		49384		XXXX	XXXX	XXXX	nc	14.0	13.0	no	no	24-hr flow-weighted composite		raw wastewater	179.0	4.0	filtration	membrane filtration with acidification and mgcl2	nuclisens manual magnetic bead extraction kit	15.0	20.0	0.0	20.0	40.0	yes	bcov vaccine	raw sample	4.2	yes	sars-cov-2	n1	ddpcr	pepper mild mottle virus			rna	more than 3	2021-09-23	06:25		8.86	7.1			23.0		XXXX	XXXX	2021-09-30	copies/l wastewater	7000.0	-1.0	3250.0	12500.0	no	1070.0	no	18.96207585	no		9300000.0	copies/l wastewater							2021-10-02 20:44:35	nc_111	81979.0	2021-09-13	2021-09-30	2021-10-07	2021-10-14	38085	34718		0.466	0.424		43	41.9	0.83	0.079	180	16	17	4	0.86	0.12	0.12000000000000499	8.6	8.599999999999966	0.8599999999999836	0	0.5
ca	06075		210000	0.5	XXXX	XXXX	XXXX	ca	43.0	1.0	yes	yes	24-hr time-weighted composite	1.0	raw wastewater				none	4s method (https://www.protocols.io/view/v-4-direct-wastewater-rna-capture-and-purification-bpdfmi3n)	24.0	4.0	0.0		40.0	yes		raw sample		yes	sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-06-05	00:00	utc-07:00	10.2			142.0		1.067875	XXXX	XXXX	2021-06-08	log10 copies/l wastewater	4.147927566	1.85866876			no	3.60206	no	-1.0	not tested	no		log10 copies/l wastewater							2021-09-01 22:19:03	ca_362	866606.0	2021-05-26	2021-06-12	2021-06-19	2021-06-26	632614	565349	0.0	0.718	0.641	0.0	18	1.6	0.87	0.005							0.01		0.20000000000007284	0.6599999999999969	0	0.375
wi	55027		17320		XXXX	XXXX	XXXX	wi	3.6				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.19		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2021-12-28	07:26	utc-06:00	1.69	7.57				0.625	XXXX	XXXX	2021-12-30	copies/l wastewater	1713735.0	75895.0			no	64000.0	no	18.509	no	no	7800513.0	copies/l wastewater							2022-01-05 13:29:45	wi_172	87336.0	2021-12-18	2022-01-04	2022-01-11	2022-01-18	46055	42806	16069	0.524	0.487	0.183	107	82.1	1.26	0.234							0.2300000000000047		23.099999999999994	0.8349999999999866	0	1.125
ca	06081		250000		XXXX	XXXX	XXXX	ca	43.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2021-09-09	07:00	utc-07:00							XXXX	XXXX	2021-09-10	copies/g dry sludge	51280.65864				no	500.0	no	142.1	no	no	607000000.0	copies/g dry sludge							2021-09-22 21:09:54	ca_362	758308.0	2021-08-30	2021-09-16	2021-09-23	2021-09-30	595926	552940	5081	0.777	0.721	0.007	196	13.9	0.86	0.019	613	69	34	10	0.66	0.04	0.040000000000000015	2.6	2.6000000000000836	0.659999999999997	0	0.0
mo	29113		3282		XXXX	XXXX	XXXX	mo	1.0				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	6.0899051114		sars-cov-2	n1	qpcr				rna	3	2021-02-09			0.32						XXXX	XXXX	2021-02-10	copies/l wastewater	65200.625	10569.025612	31569.99	98831.26	no	1750.0	no	26.797385621	no	no									2021-07-08 20:47:03	mo_404	60119.0	2021-01-30	2021-02-16	2021-02-23	2021-03-02	1943	543	0.0	0.033	0.009	0.0	14	17.9	0.77	0.08							0.07500000000000184		3.0999999999999126	0.49999999999999234	0	0.375
wi	55135		14000		XXXX	XXXX	XXXX	wi	0.68				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	6.093		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2020-11-10	07:00	utc-06:00	0.502	7.5	1098.0			2.0	XXXX	XXXX	2020-11-11	copies/l wastewater	848025.0	46314.0			no	33000.0	no	0.453	no	no	10570369.0	copies/l wastewater							2021-02-18 18:48:01	wi_115	50664.0	2020-10-31	2020-11-17	2020-11-24	2020-12-01	0.0	0.0	0.0	0.0	0.0	0.0	49	101.4	0.88	0.138							0.17750000000000238		14.65000000000004	0.6524999999999934	6	0.875
wi	55137		5500		XXXX	XXXX	XXXX	wi	1.5				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.476		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2021-07-13	07:00	utc-05:00	0.637	7.81	1521.0		18.6	1.0	XXXX	XXXX	2021-07-19	copies/l wastewater	14358.0	110.0			yes	66000.0	no	11.573	no	no	51389188.0	copies/l wastewater							2021-07-23 19:32:56	wi_57	24326.0	2021-07-03	2021-07-20	2021-07-27	2021-08-03	8859	8466	0.0	0.362	0.346	0.0	0	3.3	1.18	0.017							0.010000000000004774		1.5000000000000782		0	0.0
wi	55101		139000		XXXX	XXXX	XXXX	wi	36.0				24-hr flow-weighted composite	0.075	raw wastewater			filtration	membrane filtration with addition of mgcl2	promega automated tna kit							bcov vaccine	raw sample	4.522		sars-cov-2	n2	ddpcr	pepper mild mottle virus		hf183	rna	2	2022-01-16	00:00	utc-06:00	12.26		1193.0			0.859	XXXX	XXXX	2022-01-20	copies/l wastewater	170470.4		139622.4	206105.6	no	4761.6	no	0.479	no	no	37419008.0	copies/l wastewater					2	new extraction method, switch to kingfisher		wi_331	195802.0	2022-01-06	2022-01-23	2022-01-30	2022-02-06	123964	112679	48789	0.631	0.574	0.249	0	130.1	0.61	0.246							0.13500000000000473		113.15	0.7399999999999864	0	2.75
oh	39159		24677	20.5	XXXX	XXXX	XXXX	oh	8.0	19.4508019702868	no		24-hr time-weighted composite		raw wastewater		4.0	centrifugation	innovaprep ultrafiltration	qiagen allprep powerviral dna/rna	0.0	4.0	12.0	-80.0	100.0	yes	bcov vaccine	raw sample	6.0	no	sars-cov-2	n2	ddpcr	crassphage			dna	more than 3	2021-09-12	00:56	utc-05:00	2.50999999046326			180.0	20.3499994277954		XXXX	XXXX	2021-09-15	copies/l wastewater	6075.0	1523.906711930447			no	133.0	no	-1.0	not tested	no		copies/l wastewater					1	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-09-20 20:54:15	oh_241	60021.0	2021-09-02	2021-09-19	2021-09-26	2021-10-03	24866	24811		0.422	0.421		14	62.5	0.99	0.117							0.31000000000000383		42.90000000000012	0.9749999999999908	0	0.375
co	08069		92126		XXXX	XXXX	XXXX	co	10.177				24-hr flow-weighted composite		raw wastewater		0.0		innovaprep ultrafiltration	qiagen qiaamp buffers with epoch columns		0.0			40.0	no	bcov vaccine	raw sample	2.76		sars-cov-2	n1	ddpcr	pepper mild mottle virus		f+ rna coliphage	rna	1	2021-01-21	07:00		9.866						XXXX	XXXX	2021-01-21	copies/l wastewater	34900.888050890135		47620.95062299652	54507.027336585365	no	4000.0	no	0.2115186432835813	no						51057965.959821425	copies/l wastewater			2021-06-30 22:10:17	co_151	360428.0	2021-01-11	2021-01-28	2021-02-04	2021-02-11	1534	348	0.0	0.004	0.001	0.0	91	23.0	0.93	0.05	586	92	30	11	0.41	0.05	0.050000000000000114	10.6	10.600000000000058	0.40999999999999576	3	0.75
ca	06081		199000		XXXX	XXXX	XXXX	ca	29.0				grab		primary sludge			centrifugation	none	chemagic viral dna/rna 300 kit	6.0	4.0	6.0	0.0		yes	bcov vaccine	dewatered solids	4.0		sars-cov-2	n	ddpcr	pepper mild mottle virus			dna	more than 3	2022-01-14	07:00	utc-07:00							XXXX	XXXX	2022-01-15	copies/g dry sludge	1997573.85				no	500.0	no	150.8	no	no	1910000000.0	copies/g dry sludge							2022-01-24 20:53:30	ca_393	758308.0	2022-01-04	2022-01-21	2022-01-28	2022-02-04	672603	621960	317640	0.877	0.811	0.414	1725	271.0	0.93	0.155							0.16000000000000003		21.20000000000008	0.7999999999999969	10	1.25
wi	55075		3500		XXXX	XXXX	XXXX	wi	4.2				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	6.093		sars-cov-2	n2	qpcr	pepper mild mottle virus			dna	3	2020-11-02	08:00	utc-06:00	0.626	7.5	823.0		14.5	2.0	XXXX	XXXX	2020-11-03	copies/l wastewater	4933.0	-1.0			yes	33000.0	no	0.231	no	no	1156784.0	copies/l wastewater							2021-02-18 18:48:01	wi_313	40262.0	2020-10-23	2020-11-09	2020-11-16	2020-11-23	0.0	0.0	0.0	0.0	0.0	0.0	9	108.7	1.02	0.192							0.21750000000000233		35.59999999999999	0.8549999999999933	0	0.375
wi	55009		43000		XXXX	XXXX	XXXX	wi	14.2				24-hr flow-weighted composite	0.021	raw wastewater			filtration	membrane filtration with addition of mgcl2	qiagen rneasy powermicrobiome kit							bcov vaccine	raw sample	4.314		sars-cov-2	n1	ddpcr	pepper mild mottle virus		hf183	rna	2	2021-04-07	06:00	utc-05:00	7.89	7.3	1473.0	240.0		1.571	XXXX	XXXX	2021-04-12	copies/l wastewater	9103.46666666667		4159.584	17296.587	no	3039.157	no	10.14	no	no	21743840.2133333	copies/l wastewater				copies/l wastewater	1		2021-04-13 14:51:57	wi_128	264610.0	2021-03-28	2021-04-14	2021-04-21	2021-04-28	76699	47049	0.0	0.29	0.178	0.0	25	16.7	0.97	0.051							0.03000000000000469		6.149999999999997	0.5449999999999867	6	1.0
wi	55033		5000		XXXX	XXXX	XXXX	wi	2.88				24-hr flow-weighted composite		raw wastewater			filtration	membrane filtration with addition of mgcl2	promega ht tna kit							bcov vaccine	raw sample	4.19		sars-cov-2	n1	qpcr	pepper mild mottle virus			dna	3	2022-01-11	07:00	utc-06:00	1.301	7.9				0.625	XXXX	XXXX	2022-01-13	copies/l wastewater	1686530.0	134960.0			no	64000.0	no	12.928	no	no	21489998.0	copies/l wastewater							2022-01-18 18:12:15	wi_246	45452.0	2022-01-01	2022-01-18	2022-01-25	2022-02-01	22684	21228	10077	0.5	0.468	0.222	47	272.4	1.02	0.31							0.12500000000000475		24.499999999999993		1	0.375
mo	29213		10559		XXXX	XXXX	XXXX	mo	5.3				24-hr time-weighted composite		raw wastewater				peg precipitation	qiagen allprep powerviral dna/rna kit							puro	raw sample	6.1399709709		sars-cov-2	n2	qpcr				rna	3	2021-09-13	07:04		2.12						XXXX	XXXX	2021-09-14	copies/l wastewater	37860.246372	4536.6365252	23424.67	52295.82	no	1750.0	no	30.071721133	no	no									2021-09-28 22:05:59	mo_68	56104.0	2021-09-03	2021-09-20	2021-09-27	2021-10-04	22323	18683		0.399	0.334		17	28.6	0.88	0.097							0.07500000000000157		12.500000000000004	0.879999999999992	0	0.25
oh	39095		17000		XXXX	XXXX	XXXX	oh	8.0	8.33333333333333	no		24-hr flow-weighted composite		raw wastewater		4.0	centrifugation	membrane filtration with no amendment, membrane recombined with separated solids	qiagen allprep powerviral dna/rna kit	24.0	4.0	0.0		90.0	no	murine coronavirus	raw sample	7.0	no	sars-cov-2	n2	qpcr	crassphage			dna	1	2021-09-14	08:00	utc-05:00	9.1269998550415	7.55000019073486			5.5		XXXX	XXXX	2021-09-17	copies/l wastewater	214203.921875	17317.511708462494			no	1705.0	no	-1.0	not tested	no	27862574.0	copies/l wastewater					3	this lab uses a lab method distinct from other labs in this reporting jurisdiction	2021-09-20 20:54:15	oh_301	428294.0	2021-09-04	2021-09-21	2021-09-28	2021-10-05	170678	168716		0.398	0.394		177	49.1	0.99	0.166							0.1100000000000034		29.00000000000005	0.6249999999999912	6	1.75
